Week_Start,Category,Units_Sold,Unit_Price_EUR,Revenue_EUR,Stock_Start,Stock_End,Supplier_Delay_Days,Demand_Spike,Out_of_Stock,Notes
2019-01-07,Adult Productive Cough Syrup,29,6.62,191.98,38,14,1.0,No,No,
2019-01-07,Adult Dry Cough Syrup,21,7.13,149.73,22,3,0.3,No,No,
2019-01-07,Children's Productive Cough Syrup,9,5.95,53.55,13,5,1.5,No,No,
2019-01-07,Children's Dry Cough Syrup,15,6.41,96.15,19,4,1.7,No,No,
2019-01-07,Cough Lozenges,25,3.29,82.25,35,13,0.8,No,No,
2019-01-07,Antibiotic Prescriptions,13,8.2,106.6,14,3,0.6,No,No,
2019-01-07,Vitamins & Supplements,28,11.96,334.88,38,11,0.4,No,No,
2019-01-07,Simple Masks,9,0.68,6.12,13,6,0.7,No,No,
2019-01-07,KN95/FFP2 Masks,8,1.36,10.88,12,4,0.5,No,No,
2019-01-07,Antiseptic / Alcohol,6,4.05,24.3,7,2,0.4,No,No,
2019-01-07,Hand Gloves,4,5.52,22.08,6,3,0.7,No,No,
2019-01-07,COVID Self Tests,0,5.03,0.0,3,3,0.7,No,No,
2019-01-07,Pharmacy COVID Test Service,0,15.3,0.0,3,3,1.0,No,No,
2019-01-14,Adult Productive Cough Syrup,27,6.8,183.6,28,1,1.2,No,No,
2019-01-14,Adult Dry Cough Syrup,21,7.29,153.09,35,20,0.8,No,No,
2019-01-14,Children's Productive Cough Syrup,15,6.04,90.6,20,8,0.5,No,No,
2019-01-14,Children's Dry Cough Syrup,12,6.43,77.16,15,5,0,No,No,
2019-01-14,Cough Lozenges,36,3.34,120.24,46,16,1.0,No,No,
2019-01-14,Antibiotic Prescriptions,14,8.61,120.54,22,9,0.6,No,No,
2019-01-14,Vitamins & Supplements,24,11.22,269.28,37,18,1.1,No,No,
2019-01-14,Simple Masks,10,0.68,6.8,12,3,0.9,No,No,
2019-01-14,KN95/FFP2 Masks,8,1.35,10.8,8,0,0.8,No,No,
2019-01-14,Antiseptic / Alcohol,7,4.38,30.66,10,3,1.6,No,No,
2019-01-14,Hand Gloves,7,5.36,37.52,7,1,1.4,No,No,
2019-01-14,COVID Self Tests,0,4.79,0.0,3,3,0.6,No,No,
2019-01-14,Pharmacy COVID Test Service,0,14.58,0.0,3,3,1.1,No,No,
2019-01-21,Adult Productive Cough Syrup,23,6.69,153.87,34,13,0.9,No,No,
2019-01-21,Adult Dry Cough Syrup,19,7.27,138.13,21,3,0.6,No,No,
2019-01-21,Children's Productive Cough Syrup,13,6.0,78.0,16,5,0.2,No,No,
2019-01-21,Children's Dry Cough Syrup,12,6.2,74.4,19,10,1.3,No,No,
2019-01-21,Cough Lozenges,20,3.25,65.0,30,13,0.5,No,No,
2019-01-21,Antibiotic Prescriptions,14,8.87,124.18,20,9,0.6,No,No,
2019-01-21,Vitamins & Supplements,25,11.15,278.75,39,19,0.7,No,No,
2019-01-21,Simple Masks,8,0.64,5.12,12,5,1.5,No,No,
2019-01-21,KN95/FFP2 Masks,7,1.35,9.45,8,1,1.4,No,No,
2019-01-21,Antiseptic / Alcohol,9,4.34,39.06,14,7,0.5,No,No,
2019-01-21,Hand Gloves,4,5.67,22.68,5,1,0.9,No,No,
2019-01-21,COVID Self Tests,1,4.86,4.86,3,2,0.8,Yes,No,COVID-related demand spike
2019-01-21,Pharmacy COVID Test Service,1,14.69,14.69,3,3,0.2,Yes,No,
2019-01-28,Adult Productive Cough Syrup,17,7.08,120.36,20,5,0.4,No,No,
2019-01-28,Adult Dry Cough Syrup,22,6.98,153.56,35,18,0.6,No,No,
2019-01-28,Children's Productive Cough Syrup,12,6.11,73.32,15,5,0.8,No,No,
2019-01-28,Children's Dry Cough Syrup,13,6.34,82.42,16,4,1.1,No,No,
2019-01-28,Cough Lozenges,26,3.21,83.46,37,12,1.0,No,No,
2019-01-28,Antibiotic Prescriptions,15,8.79,131.85,18,5,0.3,No,No,
2019-01-28,Vitamins & Supplements,28,11.74,328.72,38,13,1.5,No,No,
2019-01-28,Simple Masks,10,0.63,6.3,16,8,0.7,No,No,
2019-01-28,KN95/FFP2 Masks,8,1.32,10.56,12,5,1.4,No,No,
2019-01-28,Antiseptic / Alcohol,9,4.06,36.54,13,5,1.7,No,No,
2019-01-28,Hand Gloves,5,5.33,26.65,6,1,0.7,No,No,
2019-01-28,COVID Self Tests,0,4.89,0.0,3,3,0,No,No,
2019-01-28,Pharmacy COVID Test Service,0,15.24,0.0,3,3,0.2,No,No,
2019-02-04,Adult Productive Cough Syrup,17,7.05,119.85,24,9,1.2,No,No,
2019-02-04,Adult Dry Cough Syrup,17,7.1,120.7,26,11,0.6,No,No,
2019-02-04,Children's Productive Cough Syrup,18,5.75,103.5,19,3,0.9,No,No,
2019-02-04,Children's Dry Cough Syrup,13,6.2,80.6,17,4,0.6,No,No,
2019-02-04,Cough Lozenges,29,3.27,94.83,39,14,0.5,No,No,
2019-02-04,Antibiotic Prescriptions,17,8.17,138.89,21,4,1.6,No,No,
2019-02-04,Vitamins & Supplements,27,11.58,312.66,29,3,0.8,No,No,
2019-02-04,Simple Masks,11,0.64,7.04,18,10,0.4,No,No,
2019-02-04,KN95/FFP2 Masks,8,1.4,11.2,10,3,0.8,No,No,
2019-02-04,Antiseptic / Alcohol,9,4.31,38.79,10,2,1.4,No,No,
2019-02-04,Hand Gloves,6,5.46,32.76,7,1,0.7,No,No,
2019-02-04,COVID Self Tests,0,4.74,0.0,3,3,1.2,No,No,
2019-02-04,Pharmacy COVID Test Service,0,14.85,0.0,3,3,1.1,No,No,
2019-02-11,Adult Productive Cough Syrup,26,7.12,185.12,41,18,1.1,No,No,
2019-02-11,Adult Dry Cough Syrup,17,7.24,123.08,25,9,0.9,No,No,
2019-02-11,Children's Productive Cough Syrup,12,5.83,69.96,14,4,0.6,No,No,
2019-02-11,Children's Dry Cough Syrup,11,6.2,68.2,15,5,0.4,No,No,
2019-02-11,Cough Lozenges,32,3.3,105.6,40,11,1.7,No,No,
2019-02-11,Antibiotic Prescriptions,17,8.75,148.75,19,3,0.8,No,No,
2019-02-11,Vitamins & Supplements,22,11.37,250.14,30,11,1.4,No,No,
2019-02-11,Simple Masks,9,0.64,5.76,11,3,0.4,No,No,
2019-02-11,KN95/FFP2 Masks,11,1.4,15.4,12,3,0.9,No,No,
2019-02-11,Antiseptic / Alcohol,12,4.2,50.4,17,5,0.8,No,No,
2019-02-11,Hand Gloves,5,5.37,26.85,6,2,0.4,No,Yes,
2019-02-11,COVID Self Tests,0,4.84,0.0,3,3,1.2,No,No,
2019-02-11,Pharmacy COVID Test Service,0,15.74,0.0,3,3,0.4,No,No,
2019-02-18,Adult Productive Cough Syrup,21,7.1,149.1,29,12,1.0,No,No,
